song_title,song_link,ep_title,genre,length,imdb_rating,no_of_votes,no,story_by_written_by,director,air_date,pc,description
Bee Song,https://phineasandferb.fandom.com/wiki/Bee_Song,Backyard Hodge Podge,Pop,0:38,7.8,138,NA,Dani VetereAliki Theofilopoulos GrafftJohn Mathot,"Sue Perrotto""Assistant Director:""Russell Calabrese",2013-04-19,403b,"The boys create a new invention using recycled parts from past projects. When Candace attempts to bust them, Mom is too exhausted from baking pies all night and can't figure out what Candace is trying to show her."
Waggle Dance,https://phineasandferb.fandom.com/wiki/Waggle_Dance,Bee Story,"Dance-Pop, Hip-Hop",1:11,8,140,NA,Dani VetereBernie PettersonJ.G. Orrantia,"Sue Perrotto""Assistant Director:""Russell Calabrese",2013-04-26,405b,"Isabella and the Fireside Girls attempt to get their Bee Keeping patch by turning themselves into bees, and Poofenplotz tries to become Queen of the World by stealing and consuming massive amounts of royal jelly."
Extraordinary,https://phineasandferb.fandom.com/wiki/Extraordinary,Great Balls Of Water,Pop,1:251:51 (album),NA,NA,NA,Jim BernsteinAliki Theofilopoulos GrafftJohn Mathot,"Sue Perrotto""Assistant Director:""Derek Thompson",2013-06-07,410a,"When Candace thinks Jeremy is bored with their usual hangouts, she sets out to find something unique to do with him. Meanwhile, Phineas and Ferb power through town surfing on a giant ball of water and Doofenshmirtz plans to use his Double-Negative-Inator to confuse his local eatery into giving him a wintery drink that is usually not served during summer."
History of the Tri-State Area,https://phineasandferb.fandom.com/wiki/History_of_the_Tri-State_Area,Where's Pinky?,"Show tune, Patter song",1:07,8,151,NA,Dani VetereJim BernsteinMartin OlsonJoshua PruettEddie Pittman,"Robert F. Hughes""Assistant Director:""Russell Calabrese",2013-06-07,410b,"When Pinky goes missing, Phineas & Ferb create a machine that will amplify Buford’s senses to those of a dog’s. However, it works so well that the animal agents’ secret identities are put in jeopardy. Meanwhile, Candace tries to meet up with Jeremy for lunch at City Hall but gets stuck in a mandatory tour."
City of Love,https://phineasandferb.fandom.com/wiki/City_of_Love,Phineas and Ferb: Summer Belongs to You!,Ballad,2:07,NA,NA,NA,"Dan PovenmireJeff ""Swampy"" MarshRobert F. HughesKyle MenkeKim RobersonMichael DiederichAliki Theofilopoulos GrafftAntoine GuilbaudKazJ.G. OrrantiaMike RothPerry Zombolas",Robert F. HughesDan Povenmire,2010-08-06,237/238,"Phineas and Ferb plan to travel around the world on the longest day of the year; Linda and Lawrence leave for the weekend leaving Candace in charge. It's the summer solstice, so Phineas, Ferb, & their friends decide to travel around the world in one day in an effort to create the ""Biggest, Longest, Funnest summer day of all time"". But not everyone believes they can actually achieve what they've set out to do, leading them to get some encouraging words, in the form of a duet, from Clay Aiken and Chaka Khan. Meanwhile, Dr. Doofenshmirtz takes a father-daughter trip to Tokyo with Vanessa.Guest voice: Brian George as Uncle Sabu, Clay Aiken as Himself, and Chaka Khan as Herself"
Brand New Best Friend,https://phineasandferb.fandom.com/wiki/Brand_New_Best_Friend,Phineas and Ferb the Movie: Across the 2nd Dimension,"Show tune, pop",1:55  2:18 (album),NA,NA,NA,"Jon Colton BarryDan PovenmireJeff ""Swampy"" MarshKyle MenkeAliki Theofilopoulos GrafftAntoine GuilbaudBernie PettersonChong Suk LeeChris HeadrickJ.G. OrrantiaKazKim RobersonMichael DiederichSeth KearsleySue PerrottoTom MintonWendy GriebZac Moncrief",Dan PovenmireRobert F. Hughes,2011-08-05,Movie Special,"When Phineas, Ferb, and Perry follow Dr. Doofenshmirtz through his ""Otherdimensionator"", they find themselves in an alternate universe where a second, truly evil Dr. Doof rules over his Tri-State Area with an army of Normbots. To save his friends from certain doom, Perry makes the ultimate sacrifice by revealing his secret identity as Agent P. Phineas and Ferb escape, meet their 2nd dimension selves, and begin their own mission to rescue Perry. As they uncover his plot to travel back to their dimension to take over their Tri-State Area, the gang, as well as their alter-egos, must band together to stop him."
Summer Belongs to You,https://phineasandferb.fandom.com/wiki/Summer_Belongs_to_You_(song),Phineas and Ferb: Summer Belongs to You!,Pop rock,3:41,NA,NA,NA,"Dan PovenmireJeff ""Swampy"" MarshRobert F. HughesKyle MenkeKim RobersonMichael DiederichAliki Theofilopoulos GrafftAntoine GuilbaudKazJ.G. OrrantiaMike RothPerry Zombolas",Robert F. HughesDan Povenmire,2010-08-06,237/238,"Phineas and Ferb plan to travel around the world on the longest day of the year; Linda and Lawrence leave for the weekend leaving Candace in charge. It's the summer solstice, so Phineas, Ferb, & their friends decide to travel around the world in one day in an effort to create the ""Biggest, Longest, Funnest summer day of all time"". But not everyone believes they can actually achieve what they've set out to do, leading them to get some encouraging words, in the form of a duet, from Clay Aiken and Chaka Khan. Meanwhile, Dr. Doofenshmirtz takes a father-daughter trip to Tokyo with Vanessa.Guest voice: Brian George as Uncle Sabu, Clay Aiken as Himself, and Chaka Khan as Herself"
Everything's Better with Perry,https://phineasandferb.fandom.com/wiki/Everything%27s_Better_with_Perry,Phineas and Ferb the Movie: Across the 2nd Dimension,"Soul, R&B, funk, pop",1:46,NA,NA,NA,"Jon Colton BarryDan PovenmireJeff ""Swampy"" MarshKyle MenkeAliki Theofilopoulos GrafftAntoine GuilbaudBernie PettersonChong Suk LeeChris HeadrickJ.G. OrrantiaKazKim RobersonMichael DiederichSeth KearsleySue PerrottoTom MintonWendy GriebZac Moncrief",Dan PovenmireRobert F. Hughes,2011-08-05,Movie Special,"When Phineas, Ferb, and Perry follow Dr. Doofenshmirtz through his ""Otherdimensionator"", they find themselves in an alternate universe where a second, truly evil Dr. Doof rules over his Tri-State Area with an army of Normbots. To save his friends from certain doom, Perry makes the ultimate sacrifice by revealing his secret identity as Agent P. Phineas and Ferb escape, meet their 2nd dimension selves, and begin their own mission to rescue Perry. As they uncover his plot to travel back to their dimension to take over their Tri-State Area, the gang, as well as their alter-egos, must band together to stop him."
Gordian Knot,https://phineasandferb.fandom.com/wiki/Gordian_Knot,Backyard Hodge Podge,Pop,1:13,7.8,138,NA,Dani VetereAliki Theofilopoulos GrafftJohn Mathot,"Sue Perrotto""Assistant Director:""Russell Calabrese",2013-04-19,403b,"The boys create a new invention using recycled parts from past projects. When Candace attempts to bust them, Mom is too exhausted from baking pies all night and can't figure out what Candace is trying to show her."
Rock Climbing Wall,https://phineasandferb.fandom.com/wiki/Rock_Climbing_Wall,Just Desserts,Rock,0:44,8,140,NA,Dani VetereKazKim Roberson,"Robert F. Hughes""Assistant Director:""Derek Thompson",2013-07-05,404b,"Candace volunteers to help Isabella record her audio book so the boys can continue building their giant, recyclable, rock climbing project as planned, and get busted by mom. Meanwhile, Doofenshmirtz creates a Bring-Out-Dessert-Inator which gets people to interrupt what they're doing and bring out dessert."
Get Back Hair,https://phineasandferb.fandom.com/wiki/Get_Back_Hair,La Candace-Cabra,Jingle,NA,8.2,144,NA,Jonathan HowardBernie PettersonJ.G. Orrantia,"Sue Perrotto""Assistant Director:""Derek Thompson",2013-07-12,409a,"The boys set out to prove the existence of the elusive Chupacabra to the world, but Candace can't stand the wait and needs to first just prove it to Mom. Meanwhile, Doofenshmirtz has the brilliant idea to use his Switch-Place-Inator to remove hair from one person and give it to another so that he can in turn sell his hair growing tonic."
Chupacabra Ho,https://phineasandferb.fandom.com/wiki/Chupacabra_Ho,La Candace-Cabra,Country,1:00,8.2,144,NA,Jonathan HowardBernie PettersonJ.G. Orrantia,"Sue Perrotto""Assistant Director:""Derek Thompson",2013-07-12,409a,"The boys set out to prove the existence of the elusive Chupacabra to the world, but Candace can't stand the wait and needs to first just prove it to Mom. Meanwhile, Doofenshmirtz has the brilliant idea to use his Switch-Place-Inator to remove hair from one person and give it to another so that he can in turn sell his hair growing tonic."
Isabella's Birthday Song,https://phineasandferb.fandom.com/wiki/Isabella%27s_Birthday_Song,"Happy Birthday, Isabella",Pop,1:441:58 (album version),8.2,144,NA,Scott PetersonKazKim Roberson,"Robert F. Hughes""Assistant Director:""Russell Calabrese",2013-07-12,409b,"Phineas and the gang celebrate Isabella's birthday in a big way, but all she really wants is some quiet time with Phineas. Meanwhile, Doofenshmirtz has installed his Bugs Me-Inator onto an evil bug bus and is driving around Danville turning all the things that bug him literally into bugs."
Robot Love Song,https://phineasandferb.fandom.com/wiki/Robot_Love_Song,Love at First Byte,Hip-Hop,1:29,8,157,NA,Martin OlsonEddie PittmanJ.G. Orrantia,"Sue Perrotto""Assistant Director:""Derek Thompson",2013-08-02,414a,"When Mom becomes overwhelmed with organizing a block party, she asks Phineas and Ferb for their help in making the party’s finale memorable. Meanwhile, Candace plans to bust her brothers, but their team up with Mom throws a bit of a wrench into her situation. Over at the block party, Doofenshmirtz tries to set Norm up with a female robot, but Norm’s nerves get the best of him."
I am the Very Model of a Modern Major Monogram,https://phineasandferb.fandom.com/wiki/I_am_the_Very_Model_of_a_Modern_Major_Monogram,One Good Turn,Patter Song,00:05,8,157,NA,Jim BernsteinEdward RiveraMichael Diederich,"Robert F. Hughes""Assistant Director:""Russell Calabrese",2013-08-09,414b,"Motivated by a movie with a strong heroine, Candace and Stacy feel empowered to team up against rival groups and compete in Phineas and Ferb's Ultimate Obstacle Course. Across town, Doofenshmirtz plans to humiliate his brother, the Mayor, by using his 90 Degree-turn-inator on him so that he will accidentally insult the Mayor of Stumblegimp and be forced to perform the shameful ""Dance of Contrition"" to make amends."
Humiliating Stumblegimp Dance of Contrition,https://phineasandferb.fandom.com/wiki/Humiliating_Stumblegimp_Dance_of_Contrition,One Good Turn,Austrian waltz,0:52,8,157,NA,Jim BernsteinEdward RiveraMichael Diederich,"Robert F. Hughes""Assistant Director:""Russell Calabrese",2013-08-09,414b,"Motivated by a movie with a strong heroine, Candace and Stacy feel empowered to team up against rival groups and compete in Phineas and Ferb's Ultimate Obstacle Course. Across town, Doofenshmirtz plans to humiliate his brother, the Mayor, by using his 90 Degree-turn-inator on him so that he will accidentally insult the Mayor of Stumblegimp and be forced to perform the shameful ""Dance of Contrition"" to make amends."
Dance of Contrition,https://phineasandferb.fandom.com/wiki/Dance_of_Contrition,One Good Turn,Dance/Disco,0:26,8,157,NA,Jim BernsteinEdward RiveraMichael Diederich,"Robert F. Hughes""Assistant Director:""Russell Calabrese",2013-08-09,414b,"Motivated by a movie with a strong heroine, Candace and Stacy feel empowered to team up against rival groups and compete in Phineas and Ferb's Ultimate Obstacle Course. Across town, Doofenshmirtz plans to humiliate his brother, the Mayor, by using his 90 Degree-turn-inator on him so that he will accidentally insult the Mayor of Stumblegimp and be forced to perform the shameful ""Dance of Contrition"" to make amends."
The K-I-S-S-I-N-G Song,https://phineasandferb.fandom.com/wiki/The_K-I-S-S-I-N-G_Song,Thanks But No Thanks,"Children's Song, Mocking song",NA,8.2,146,NA,Martin OlsonAntoine GuilbaudKaz,"Sue Perrotto""Assistant Director:""Derek Thompson",2013-09-13,413a,"Candace discovers that one of her neighbors has witnessed all Phineas and Ferb inventions made ​​during the summer. Carl wants to get a simple Major Monogram thank you for all you have done, so Monty tries to help. Meanwhile, Dr. Doofenshmirtz creates its ""Inflator-inator"" to try to silence his neighbor who plays the bagpipes every day."
Pyramid Sports,https://phineasandferb.fandom.com/wiki/Pyramid_Sports,Thanks But No Thanks,Rock,1:10,8.2,146,NA,Martin OlsonAntoine GuilbaudKaz,"Sue Perrotto""Assistant Director:""Derek Thompson",2013-09-13,413a,"Candace discovers that one of her neighbors has witnessed all Phineas and Ferb inventions made ​​during the summer. Carl wants to get a simple Major Monogram thank you for all you have done, so Monty tries to help. Meanwhile, Dr. Doofenshmirtz creates its ""Inflator-inator"" to try to silence his neighbor who plays the bagpipes every day."
Troy,https://phineasandferb.fandom.com/wiki/Troy,Backyard Hodge Podge,Irish rock,1:18,7.8,138,NA,Dani VetereAliki Theofilopoulos GrafftJohn Mathot,"Sue Perrotto""Assistant Director:""Russell Calabrese",2013-04-19,403b,"The boys create a new invention using recycled parts from past projects. When Candace attempts to bust them, Mom is too exhausted from baking pies all night and can't figure out what Candace is trying to show her."
Foot Stomp Mash Up,https://phineasandferb.fandom.com/wiki/Foot_Stomp_Mash_Up,Spa Day,"Electronica, megamix",0:211:05 (all together),8.2,182,NA,Jennifer KeeneAliki Theofilopoulos GrafftAntoine Guilbaud,Robert F. Hughes,2009-08-14,215b,"Candace and Stacy have a spa day. But thanks to Candace, they get sidetracked when she noticed that Jeremy was building houses and decides that she and Stacy should help them. Their spa day also inspired Phineas and Ferb to build a spa of their own. Meanwhile Doofenshmirtz takes in a lost kitten that causes havoc with his old inventions."
Vampire Queens Love Pimpernels,https://phineasandferb.fandom.com/wiki/Vampire_Queens_Love_Pimpernels,Druselsteinoween,Tango,00:50,8.6,166,NA,Dani VetereKyle MenkeMichael Diederich,"Robert F. Hughes""Assistant Director:""Russell Calabrese",2013-10-04,419a,"When Vanessa learns that Doofenshmirtz has inherited a Drusselsteinian castle right next door to her she seizes the opportunity to throw the biggest Halloween bash ever. The whole town is there, including Phineas and Ferb, who act as the event's party planners and DJs. Meanwhile, Doofenshmirtz enlists Perry to help him find a large, hidden treasure that his Great Aunt has placed somewhere within the castle."
No Mo Mo,https://phineasandferb.fandom.com/wiki/No_Mo_Mo,Terrifying Tri-State Trilogy of Terror,Rock,1:02,8.2,141,NA,Dani VetereMartin OlsonScott PetersonMike BellKim RobersonAliki Theofilopoulos GrafftJohn Mathot,"Robert F. Hughes""Assistant Director:""Russell Calabrese",2013-10-05,418,"This new episode of ""Phineas and Ferb"" features three separate tales. Tale One follows Candace as she accidentally conjures up a spell that turns her Ducky Momo plushie into a living, breathing doll that is set on stalking her. In Tale Two, Doofenshmirtz encounters a mythological, giant floating baby head that grants cursed wishes; and Tale Three pits Phineas, Ferb and their friends against a horde of mischievous, evil platypuses set on destroying the town."
